0:19:02 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:05 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:08 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:11 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:14 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:17 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:21 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:24 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:27 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:30 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:33 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:36 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:39 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:43 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:46 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:49 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:52 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:55 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:19:58 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:20:01 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:20:05 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:20:08 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:20:11 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:20:14 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:20:17 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:20:20 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:20:24 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:20:27 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:20:30 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
